Track ID,Track Name,Artist Name,Frequency
3UUTUsYZAAAkcWgkoxHvcu,The Swamp Song - Version 2 - Remastered,Oasis,1
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,1
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,1
3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,Shawn Mendes,1
3Pzh926pXggbMe2ZpXyMV7,Ain't No Rest for the Wicked,Cage The Elephant,1
3KrKkY581OwameSpuutY6H,"Ethir Neechal (From ""Ethir Neechal"")",Anirudh Ravichander,1
3KANrKOFYyAxfjQJHkgBdb,Smile Like You Mean It,The Killers,1
3IznIgmXtrUaoPWpQTy5jB,Not Allowed,TV Girl,1
3G6hD9B2ZHOsgf4WfNu7X1,Team,Lorde,1
39sDitIeCMrVX2QyXHY46t,Blue Hair,TV Girl,1
39jXnbACjiaiTwwhsr5sY5,Too Much To Ask,Niall Horan,1
389QX9Q1eUOEZ19vtzzI9O,While My Guitar Gently Weeps - Remastered 2009,The Beatles,1
37R0bQOQj5a7DOqh1TGzvB,One Call Away,Charlie Puth,1
2x8evxqUlF0eRabbW2JBJd,Fluorescent Adolescent,Arctic Monkeys,1
2x0RZdkZcD8QRI53XT4GI5,SOS (feat. Aloe Blacc),Avicii,1
2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,Cage The Elephant,1
2sGF7DBXvL2GjkbG606m1G,No Judgement,Niall Horan,1
2pUpNOgJBIBCcjyQZQ00qU,Let Her Go,Passenger,1
2nvC4i2aMo4CzRjRflysah,In My Place,Coldplay,1
2h5UfY3Mt4fkbysxYkhGpG,VIP Title Song,Anirudh Ravichander,1
2grjqo0Frpf2okIBiifQKs,September,"Earth, Wind & Fire",1
2g2E02GUkGyzQ1oqJsKaVE,"Engeyum Kaadhal - From ""Engeyum Kadhal""",Harris Jayaraj,1
2fuCquhmrzHpu5xcA1ci9x,Under Pressure - Remastered 2011,Queen,1
2fAIfPLrPUTW1AmJRR428Q,Ruby,Kaiser Chiefs,1
2eSrYpnCUjJmbVFR7A3nzZ,"Azhagiye (From ""Kaatru Veliyidai"")",A.R. Rahman,1
2cPHGDrV3WeDrqDSmNikwB,SOS,ABBA,1
2afCBiru10AFckfOa49wIa,You & I,One Direction,1
2ZqzELrxZZyeTPSR7GZBH4,Yaar Azhaippadhu,Ghibran,1
2YoPh281gD3xPnTkojVSr3,Adiyae Kolluthey,Harris Jayaraj,1
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,1
2VjYF5L2LAOQNkIDCyAnAe,Meesa Beauty,Anirudh Ravichander,1
2UwM1cFgYjQ4U1ntbu6vKl,Ey Sandakaara,Dhee,1
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,1
